question,worker,answer
344,A1VW9W0DWXCPYE,1372
344,A3NU1SQPI1NXY4,1372
344,AKBP92VUQ7G3,1372
344,ATQWZNGQCN1RA,1372
344,A2H321P1NSEW35,1372
344,A2F0X4LN9N4O4C,1372
344,A2V3P1XE33NYC3,1372
344,A2UFD1I8ZO1V4G,1372
344,AD317NO9623GZ,1372
345,A2V3P1XE33NYC3,1376
345,AKBP92VUQ7G3,1376
345,A356EVHB3TU90R,1376
345,A2H321P1NSEW35,1376
345,AWRAXV1RIYR0M,1376
345,ATQWZNGQCN1RA,1376
345,AD317NO9623GZ,1376
345,A2UFD1I8ZO1V4G,1376
345,A3NU1SQPI1NXY4,1376
346,A2V3P1XE33NYC3,1383
346,AKBP92VUQ7G3,1381
346,A356EVHB3TU90R,1383
346,A2H321P1NSEW35,1380
346,AWRAXV1RIYR0M,1380
346,ATQWZNGQCN1RA,1380
346,AD317NO9623GZ,1380
346,A2UFD1I8ZO1V4G,1383
346,A3NU1SQPI1NXY4,1383
347,A2V3P1XE33NYC3,1387
347,AKBP92VUQ7G3,1384
347,A356EVHB3TU90R,1386
347,A2H321P1NSEW35,1384
347,AWRAXV1RIYR0M,1384
347,ATQWZNGQCN1RA,1386
347,AD317NO9623GZ,1384
347,A2UFD1I8ZO1V4G,1386
347,A3NU1SQPI1NXY4,1384
340,A2UFD1I8ZO1V4G,1357
340,ATQWZNGQCN1RA,1357
340,A36JZTUKQVV5S5,1357
340,AD317NO9623GZ,1357
340,A1C0Z73809FFDZ,1357
340,A1PAR1TMKFPKQE,1357
340,A2V3P1XE33NYC3,1357
340,AKBP92VUQ7G3,1357
340,A3NU1SQPI1NXY4,1357
341,A1VW9W0DWXCPYE,1360
341,A3NU1SQPI1NXY4,1361
341,AKBP92VUQ7G3,1360
341,ATQWZNGQCN1RA,1360
341,A2H321P1NSEW35,1360
341,A2F0X4LN9N4O4C,1360
341,A2V3P1XE33NYC3,1360
341,A2UFD1I8ZO1V4G,1361
341,AD317NO9623GZ,1360
342,A1VW9W0DWXCPYE,1365
342,A3NU1SQPI1NXY4,1365
342,AKBP92VUQ7G3,1365
342,ATQWZNGQCN1RA,1365
342,A2H321P1NSEW35,1365
342,A2F0X4LN9N4O4C,1365
342,A2V3P1XE33NYC3,1365
342,A2UFD1I8ZO1V4G,1365
342,AD317NO9623GZ,1365
343,A1VW9W0DWXCPYE,1369
343,A3NU1SQPI1NXY4,1371
343,AKBP92VUQ7G3,1369
