question,truth
79185673,1
79185724,2
79185900,2
79186190,3
79186569,3
79186651,1
79186665,2
79186726,3
79186749,3
79187165,3
79187357,2
79188095,2
79188429,2
79188466,1
79188512,1
79188733,3
79188846,2
79189145,3
79189357,1
79189697,1
79189773,3
79190118,3
79193752,3
79193796,2
79193917,2
79194027,3
79194028,2
79194093,3
79194346,3
79194550,2
79194811,2
79194933,1
79195142,3
79195594,3
79195829,1
79196060,3
79196168,3
79196316,1
79196441,3
79196748,3
79196972,1
79197068,1
79197151,1
79197417,3
79197503,3
79197563,2
79197691,2
79197834,2
79197903,1
79197928,3
80050064,2
80050144,2
80050625,1
80050645,2
80050754,1
80051053,3
80051237,2
80051992,2
80052151,3
80052225,3
80053174,3
80053403,2
80053599,2
80053613,2
80053682,1
80053749,3
80054009,3
80054061,2
80054166,2
80055712,3
80055921,1
80056141,2
80056218,3
80056235,3
80056390,1
80056520,3
80056578,1
80056720,1
80056767,3
80056789,3
80056863,2
80057006,3
80057291,3
80057335,2
80058003,3
80058172,3
80058228,2
80058437,2
80058539,3
80058749,2
80058771,2
80058841,2
80058872,3
80059045,1
80059079,3
80059118,1
80059190,1
80059203,3
80059242,1
80059324,2
80059338,2
80059362,3
80059451,1
80059665,3
80059799,2
80059939,1
80060015,3
81169563,1
81169928,3
81170146,1
81170244,1
81170419,3
81170491,2
81170861,1
81171616,1
81171736,1
81172057,2
81172077,3
81172348,1
81172598,3
81174459,2
81174535,3
81176223,1
81176286,3
81176504,2
81176506,1
81176534,2
81176574,2
81176650,2
81176672,3
81176923,3
81176951,2
81177034,2
81177456,1
81177780,1
81177836,2
81177955,2
81178003,2
81178007,3
81178016,1
81178513,1
81178821,3
81178980,3
81179349,2
81179473,3
81179800,3
81211518,3
81212019,2
81212076,2
81213046,3
81213147,3
81213627,3
81213652,2
81213726,2
81213766,2
81213820,3
81213904,2
81214894,3
81214896,3
81215052,2
81215474,1
81215562,3
81988861,1
81989508,1
81989954,2
81990273,2
81990318,2
81990447,2
81990560,3
81990794,1
81990891,1
81990952,2
81991018,3
81991119,2
81991158,1
81991168,1
81991227,1
81991310,1
81991330,3
81991465,2
81991486,1
81991664,1
81991717,2
81991738,1
81991877,3
81992011,2
81992074,2
81992249,1
81992349,2
81992407,1
81992417,1
81992487,1
81992855,3
81993022,1
81993136,1
81993145,2
81993643,2
81993695,2
81993807,3
81994619,1
81994623,3
81994871,1
81995233,3
81995294,1
81995317,1
81995385,3
81995507,1
81995666,3
81995718,3
81995828,1
81995838,2
81996080,2
81996092,1
81996415,3
81996499,1
81996571,2
81996585,1
81996594,2
81996695,3
81996764,1
81996997,2
82509276,2
82509602,1
82509653,2
82509678,1
82509691,3
82510064,2
82510163,2
82510201,2
82510207,2
82510259,2
82510416,1
82510452,3
82510693,2
82510755,3
82510796,2
82511191,1
82511193,1
82511269,2
82511345,1
82511565,2
82511766,2
82512042,2
82512093,1
82512145,3
82512212,3
82512299,1
82512461,3
82512578,1
82512623,2
82512662,3
82512854,2
82512916,3
82513014,3
82513064,2
82513289,3
82513444,1
82513470,2
82513588,2
82514466,3
82515092,3
82515898,2
82515944,3
82516074,1
82516283,2
82516775,1
82516918,1
82516994,2
82517281,2
82517296,1
82517329,1
82517414,2
82517602,2
82517625,2
82517629,2
82517646,3
82517839,1
82518099,3
82518151,1
82518158,1
82518322,1
82518378,3
82518429,3
82672831,1
82672977,3
82673563,2
82673621,1
82673764,1
82673786,3
82673833,1
82673954,1
82674035,2
82674083,2
82674199,2
82674219,1
82674290,3
82674474,2
82674497,2
82674566,1
82674634,1
82674902,1
82675151,2
82675706,3
82675810,2
82675851,2
82675864,3
82676265,1
82676486,3
82676543,2
82676609,2
82676738,3
82677093,2
82677133,1
82677176,3
82677284,2
82677993,1
82678292,1
82678393,1
82678469,2
82678736,2
82679055,2
82679243,1
82679458,3
82679485,1
82679560,2
82679677,1
82679834,2
82679835,1
82679887,1
82680253,3
82680378,3
82680423,3
82680424,2
82680469,3
82680470,2
82681076,2
82681107,2
82681160,2
82681227,3
82681477,1
82681805,1
82681854,1
82681996,3
82682106,3
82682363,1
82835535,1
82837138,2
82837194,3
82837247,1
82837308,1
82837312,3
82837330,3
82837331,2
82837376,3
82837743,1
82837899,3
82838018,2
82838077,3
82838136,3
82838193,2
82838269,3
82838312,2
82838802,3
82838854,1
82838894,1
82838938,2
82839115,2
82839413,3
82839436,2
82839573,1
82839684,2
82839844,3
82839983,2
82840144,2
82840157,3
82840428,1
82840462,1
82840508,1
82840755,1
82841006,3
82841168,1
82841468,1
82841631,1
82841658,2
82843258,1
82843268,3
82843728,3
82843785,3
82843839,2
82844107,2
82844291,1
82844422,2
82844485,1
82844546,3
82844564,3
82844697,3
82844705,1
82844714,2
82844765,1
82844934,1
82844981,3
82845186,2
82845268,1
82845272,1
82845290,2
82845308,2
82845437,1
82845501,1
82846065,1
82846118,2
82846910,2
82847304,2
82847369,3
82847436,1
82847466,1
82847641,1
82847678,2
82848803,1
82849021,2
82849272,1
82849313,2
82849685,1
82850000,1
82850069,3
82850303,3
82850414,2
82850521,3
82850583,1
82850978,1
82851542,1
82851670,1
82852118,3
82852342,2
82852373,2
82852510,2
82852668,2
82852809,1
82852894,2
82853085,1
82853149,1
82853150,1
82853187,1
83254598,1
83254794,1
83254916,1
83254924,2
83254939,2
83255051,3
83255088,3
83255121,1
83255316,2
83255367,2
83255476,2
83255486,1
83255526,3
83255916,2
83256060,3
83256065,1
83256123,2
83256193,1
83256253,3
83256366,3
83256679,1
83257052,2
83257061,3
83257167,2
83257336,1
83257650,3
83257763,2
83257925,3
83257950,1
83258038,2
83258131,1
83258489,2
83258590,1
83258604,2
83258608,3
83258613,1
83258702,1
83259537,2
83267294,2
83267573,3
83267635,2
83267942,3
83268278,2
83268301,2
83268482,3
83268491,3
83268587,2
83268638,1
83269010,2
83269109,3
83269290,1
83269499,3
83269519,2
83269583,1
83269790,3
83269935,2
83270091,1
83270140,3
83270141,3
83270494,1
83270521,2
83270696,2
83270768,2
83271356,3
83271419,2
83271502,1
83271979,3
83271996,2
83272186,2
83272206,3
84030151,1
84030164,3
84030311,3
84030355,3
84030639,2
84031114,2
84031161,2
84033089,1
84033317,1
84033718,1
84033731,3
84033733,3
84033936,2
84034023,3
84034398,1
84034743,1
84034785,3
84047300,3
84047815,2
84047934,1
84048054,1
84048095,2
84048109,3
84048182,2
84048187,1
84048241,3
84048359,2
84048438,1
84048462,3
84049308,2
84049338,2
84049369,3
84049378,3
84049530,1
84049696,2
84049718,1
84049777,2
84049993,2
84050095,3
84050258,1
84050322,1
84050364,1
84050420,3
84050466,1
84050868,1
84050878,2
84051155,3
