question,worker,answer
597576902212063232,Amateur_0,1
565586175864610817,Amateur_0,1
563881580209246209,Amateur_0,1
595380689534656512,Amateur_0,1
563757610327748608,Amateur_0,1
563082741370339330,Amateur_0,1
596962098845851648,Amateur_0,1
563874350038675457,Amateur_0,1
597240424873394176,Amateur_0,1
571030421103910912,Amateur_0,2
595306172833353728,Amateur_0,1
562706485126643713,Amateur_0,1
564678824953008128,Amateur_0,1
571035328384884736,Amateur_0,1
603286576131506177,Amateur_0,3
595375793301131265,Amateur_0,1
598769509248335873,Amateur_0,1
572068636338364417,Amateur_0,2
572346645897064448,Amateur_0,1
575080651709247489,Amateur_0,1
571033583285985281,Amateur_0,1
571387182293725184,Amateur_0,1
573222765957816320,Amateur_0,1
603664815454875648,Amateur_0,1
568820924855615489,Amateur_0,1
575501717103644672,Amateur_0,2
563377797763047425,Amateur_0,1
597148153188519936,Amateur_0,1
568848293486133248,Amateur_0,1
603663272831778817,Amateur_0,1
572854416031629313,Amateur_0,1
564317491350863872,Amateur_0,1
570095648952819713,Amateur_0,1
575393332328722432,Amateur_0,2
565029767708033024,Amateur_0,1
562943065523240961,Amateur_0,1
570997249846571008,Amateur_0,1
603676994925133826,Amateur_0,2
598512784377122816,Amateur_0,1
603688066105081856,Amateur_0,1
603649396484407296,Amateur_0,1
598336838680477697,Amateur_0,1
602678737566453760,Amateur_0,1
562787963785191425,Amateur_0,1
569957017655226369,Amateur_0,1
570994931231117315,Amateur_0,1
569150960783769601,Amateur_0,3
575742743730745344,Amateur_0,2
563851316665925632,Amateur_0,1
563501697398370304,Amateur_0,1
569201849229664256,Amateur_0,1
569177003644964864,Amateur_0,1
563093253378289665,Amateur_0,1
570993190724964352,Amateur_0,1
575417042150387712,Amateur_0,1
596355644883501056,Amateur_0,1
565593365245612032,Amateur_0,2
597344466152792065,Amateur_0,1
569744463670566913,Amateur_0,1
594917674448072704,Amateur_0,2
564674500390682624,Amateur_0,1
595102568667217920,Amateur_0,1
568436195966889984,Amateur_0,1
565363377309241344,Amateur_0,1
595115846613139456,Amateur_0,1
564904052652113920,Amateur_0,2
573954693690355712,Amateur_0,1
570731787091107840,Amateur_0,2
596964493449560064,Amateur_0,1
603682460191203328,Amateur_0,2
598194795421376512,Amateur_0,1
563768704115023872,Amateur_0,1
572343670034178051,Amateur_0,1
571000078405537794,Amateur_0,1
568456509421518848,Amateur_0,1
572270547502907392,Amateur_0,2
570732311840473089,Amateur_0,1
572102836856750081,Amateur_0,2
576433212156563456,Amateur_0,2
571717540713381888,Amateur_0,1
575155695080730624,Amateur_0,1
571741933233565696,Amateur_0,1
595328640088285184,Amateur_0,1
572347254335385600,Amateur_0,1
574417568229761025,Amateur_0,1
564678219333246976,Amateur_0,1
603681832173961216,Amateur_0,2
596592358772191232,Amateur_0,1
563826405784305666,Amateur_0,1
599724801322659840,Amateur_0,1
571740177137184768,Amateur_0,1
603665369119592448,Amateur_0,1
569612886722486272,Amateur_0,1
575347321140969472,Amateur_0,1
571354609622495232,Amateur_0,1
570994652993556481,Amateur_0,1
563093321418309633,Amateur_0,1
602445487753535488,Amateur_0,3
563309529614409730,Amateur_0,1
603687162077433856,Amateur_0,1
566069269084262401,Amateur_0,1
571733391919337472,Amateur_0,1
597872004235010048,Amateur_0,1
576532163526406144,Amateur_0,1
576554873468035072,Amateur_0,2
562767924205998081,Amateur_0,2
576104877144723456,Amateur_0,3
576572940474515456,Amateur_0,1
603569556469190656,Amateur_0,2
562736780487974914,Amateur_0,1
575695464613310464,Amateur_0,2
572973809969442817,Amateur_0,1
570814936219127809,Amateur_0,1
575710263879430144,Amateur_0,2
565028387232546816,Amateur_0,1
603695258870947840,Amateur_0,2
571004298860998657,Amateur_0,2
562855493992218625,Amateur_0,1
572328799284551680,Amateur_0,1
603661823095615488,Amateur_0,1
598042005013340160,Amateur_0,1
562704332098113537,Amateur_0,1
571451196377927680,Amateur_0,1
575646184758337537,Amateur_0,2
572343481219207168,Amateur_0,1
564322083459432448,Amateur_0,1
576094311856484352,Amateur_0,1
618367060117098498,Amateur_0,2
603553480754778112,Amateur_0,2
564907851886247936,Amateur_0,1
572336241871478786,Amateur_0,2
569916467124137985,Amateur_0,1
565320643731025920,Amateur_0,1
564317908243726336,Amateur_0,1
572340379736911872,Amateur_0,1
565320815114473472,Amateur_0,1
573587423520653312,Amateur_0,1
576035486956789760,Amateur_0,1
595397515849043968,Amateur_0,1
575732869215158273,Amateur_0,2
596731670281097218,Amateur_0,1
573205121435369472,Amateur_0,2
568678698615836672,Amateur_0,1
597564077875941376,Amateur_0,1
575156376458039296,Amateur_0,1
571896483047477248,Amateur_0,1
568140460322996224,Amateur_0,1
565755824858226688,Amateur_0,1
597552063615238144,Amateur_0,1
571541585407565824,Amateur_0,2
575860144355041280,Amateur_0,2
573277464601894913,Amateur_0,1
569181952424562688,Amateur_0,1
566432510591377409,Amateur_0,1
598668549234642945,Amateur_0,1
572127937580949505,Amateur_0,2
566779836044419072,Amateur_0,1
571899941817331713,Amateur_0,2
576189889550684160,Amateur_0,2
572335501765574656,Amateur_0,1
596106196253184000,Amateur_0,1
574888402077667329,Amateur_0,1
572261148323676160,Amateur_0,2
576512492643491841,Amateur_0,1
597142165316247552,Amateur_0,1
572318519464865792,Amateur_0,1
572337351214559232,Amateur_0,1
603660142522032130,Amateur_0,4
569632316454084608,Amateur_0,1
569015083721818113,Amateur_0,1
570738449122136065,Amateur_0,2
575616147166466048,Amateur_0,2
572279223525621760,Amateur_0,1
566467902870925312,Amateur_0,1
597366877258588161,Amateur_0,1
564898715840700417,Amateur_0,1
570992871211274242,Amateur_0,1
565327930335952896,Amateur_0,1
563461334814052352,Amateur_0,1
576162183362560000,Amateur_0,2
569625666582216704,Amateur_0,1
572346694127394817,Amateur_0,1
568673584064782337,Amateur_0,1
570850963986059264,Amateur_0,1
576437717719879680,Amateur_0,1
595376524880060416,Amateur_0,1
572345440600907777,Amateur_0,2
576552013955080192,Amateur_0,1
572338526886363136,Amateur_0,1
596748021695578112,Amateur_0,1
564627148577595393,Amateur_0,5
570639722600538113,Amateur_0,1
564317814693978114,Amateur_0,1
572490037230628864,Amateur_0,1
567355729862868992,Amateur_0,1
572344083017936896,Amateur_0,1
574410915367399424,Amateur_0,1
572335490885529600,Amateur_0,1
603678413078028289,Amateur_0,1
568663401657864192,Amateur_0,5
564730068748861440,Amateur_0,1
576430495308730368,Amateur_0,1
576130274498510849,Amateur_0,2
575355446124396544,Amateur_0,1
565359433686208512,Amateur_0,1
595384140142379008,Amateur_0,1
572336811948687362,Amateur_0,1
566309357252780032,Amateur_0,2
562715323003318273,Amateur_0,1
572336302500134912,Amateur_0,1
576517777864798208,Amateur_0,2
572604868692594689,Amateur_0,1
571001349376069632,Amateur_0,1
576517274254749696,Amateur_0,1
572336380614856706,Amateur_0,2
571380410539581440,Amateur_0,2
597104315971448832,Amateur_0,1
568130839982157824,Amateur_0,1
571103188029276162,Amateur_0,2
562786361045164032,Amateur_0,1
573265516883648512,Amateur_0,2
603547693504421888,Amateur_0,2
603581009595084800,Amateur_0,3
567047586515677185,Amateur_0,1
566072331127492608,Amateur_0,1
565761296264859649,Amateur_0,1
573268706010120192,Amateur_0,1
573474434050301952,Amateur_0,3
595863871073587200,Amateur_0,1
571423471223222272,Amateur_0,1
576241537484496896,Amateur_0,2
563556066953154560,Amateur_0,2
598493860860309504,Amateur_0,1
603686720819875843,Amateur_0,2
574688639457886210,Amateur_0,3
571440668813307904,Amateur_0,1
598393695436546048,Amateur_0,1
570995887876349952,Amateur_0,1
562857483698728960,Amateur_0,1
568300748125024256,Amateur_0,1
568455802383511552,Amateur_0,1
572348198062170112,Amateur_0,2
563556102541803520,Amateur_0,1
594913814321102849,Amateur_0,1
596801639303938049,Amateur_0,1
603059827313618944,Amateur_0,1
570801788120653824,Amateur_0,2
572337876911857664,Amateur_0,2
603653864093577216,Amateur_0,1
603027319352070145,Amateur_0,1
598911047118901248,Amateur_0,1
603654764618997762,Amateur_0,2
570847322139045889,Amateur_0,5
598974214620581888,Amateur_0,1
563553471966613505,Amateur_0,1
594297574053412864,Amateur_0,1
576569252687163392,Amateur_0,3
571422590545170432,Amateur_0,1
571622027171246080,Amateur_0,2
576641140922822656,Amateur_0,1
575545766741147649,Amateur_0,1
575897095997034496,Amateur_0,1
568265489878642689,Amateur_0,2
568317293689593856,Amateur_0,1
603668696486129664,Amateur_0,1
595392198956306432,Amateur_0,1
569956626544730112,Amateur_0,1
575768598762930176,Amateur_0,2
562767280736829441,Amateur_0,2
568212707331018754,Amateur_0,1
596737027602653184,Amateur_0,4
575774275715489792,Amateur_0,1
572336719988588545,Amateur_0,1
566443446089842689,Amateur_0,1
571168385578479617,Amateur_0,2
570057784588247040,Amateur_0,1
596708887144706048,Amateur_0,5
576588305338339328,Amateur_0,2
