question,truth
1,1
2,2
3,3
4,1
5,0
6,2
7,1
8,0
9,2
10,0
11,0
12,3
13,2
14,0
15,0
16,1
17,2
18,2
19,1
20,0
21,3
22,3
23,3
24,3
25,1
26,3
27,3
28,1
29,2
30,3
31,2
32,1
33,0
34,1
35,1
36,0
37,3
38,0
39,2
40,1
41,1
42,2
43,2
44,3
45,2
46,2
47,0
48,3
49,3
50,3
51,0
52,2
53,2
54,2
55,3
56,2
57,0
58,3
59,3
60,3
61,1
62,1
63,0
64,2
65,0
66,0
67,1
68,0
69,2
70,0
71,0
72,3
73,2
74,3
75,0
76,3
77,1
78,1
79,2
80,2
81,1
82,0
83,3
84,1
85,0
86,3
87,3
88,3
89,0
90,2
91,2
92,1
93,1
94,0
95,3
96,1
97,2
98,3
99,1
100,2
101,0
102,3
103,3
104,2
105,1
106,0
107,1
108,0
109,0
110,1
111,3
112,3
113,0
114,3
115,0
116,0
117,1
118,2
119,1
120,1
121,0
122,3
123,1
124,3
125,1
126,3
127,3
128,0
129,3
130,2
131,0
132,2
133,0
134,3
135,2
136,2
137,0
138,3
139,1
140,0
141,2
142,1
143,2
144,0
145,0
146,1
147,0
148,0
149,3
150,1
151,0
152,2
153,2
154,2
155,3
156,1
157,3
158,0
159,0
160,0
161,1
162,2
163,3
164,0
165,0
166,3
167,0
168,0
169,3
170,2
171,1
172,1
173,2
174,1
175,2
176,3
177,0
178,1
179,3
180,0
181,3
182,2
183,2
184,3
185,0
186,3
187,2
188,3
189,3
190,2
191,1
192,1
193,0
194,2
195,1
196,2
197,0
198,1
199,0
200,3
201,0
202,1
203,0
204,2
205,2
206,3
207,1
208,2
209,0
210,1
211,2
212,2
213,2
214,3
215,0
216,0
217,3
218,0
219,3
220,2
221,0
222,0
223,3
224,1
225,1
226,1
227,1
228,0
229,0
230,2
231,2
232,1
233,1
234,3
235,2
236,0
237,3
238,2
239,3
240,0
241,3
242,3
243,1
244,1
245,2
246,2
247,3
248,2
249,3
250,0
251,3
252,2
253,0
254,0
255,1
256,3
257,1
258,1
259,2
260,2
261,1
262,1
263,0
264,0
265,2
266,2
267,3
268,1
269,3
270,0
271,0
272,3
273,3
274,0
275,3
276,1
277,2
278,1
279,2
280,1
281,0
282,2
283,1
284,0
285,2
286,0
287,1
288,0
289,1
290,2
291,2
292,3
293,3
294,1
295,3
296,1
297,1
298,3
299,0
300,0
301,2
302,0
303,1
304,2
305,2
306,1
307,0
308,1
309,2
310,2
311,1
312,1
313,1
314,0
315,2
316,2
317,3
318,2
319,2
320,2
321,1
322,2
323,3
324,2
325,1
326,0
327,0
328,3
329,1
330,0
331,0
332,1
333,2
334,0
335,1
336,2
337,3
338,0
339,1
340,0
341,0
342,1
343,1
344,0
345,3
346,0
347,1
348,3
349,2
350,3
351,2
352,0
353,2
354,1
355,1
356,1
357,0
358,0
359,0
360,1
361,2
362,3
363,3
364,3
365,2
366,1
367,0
368,3
369,0
370,3
371,2
372,3
373,1
374,3
375,0
376,2
377,1
378,3
379,3
380,2
381,3
382,2
383,0
384,2
385,0
386,2
387,2
388,3
389,0
390,2
391,3
392,1
393,0
394,2
395,3
396,2
397,3
398,1
399,1
400,0
401,3
402,3
403,2
404,3
405,2
406,2
407,3
408,2
409,2
410,3
411,0
412,3
413,3
414,1
415,3
416,3
417,1
418,0
419,3
420,1
421,2
422,0
423,1
424,2
425,2
426,3
427,2
428,2
429,3
430,0
431,2
432,3
433,2
434,2
435,1
436,0
437,1
438,3
439,0
440,3
441,2
442,1
443,0
444,3
445,0
446,1
447,3
448,2
449,0
450,1
451,1
452,3
453,0
454,3
455,2
456,1
457,2
458,3
459,1
460,0
461,1
462,3
463,0
464,3
465,1
466,1
467,1
468,3
469,3
470,3
471,1
472,0
473,0
474,0
475,0
476,1
477,2
478,0
479,1
480,0
481,1
482,1
483,3
484,3
485,0
486,3
487,3
488,0
489,2
490,1
491,0
492,0
493,2
494,1
495,2
496,2
497,2
498,2
499,1
500,3
501,3
502,1
503,2
504,1
505,1
506,1
507,2
508,3
509,1
510,2
511,2
512,2
513,2
514,2
515,1
516,2
517,1
518,0
519,0
520,1
521,0
522,3
523,2
524,0
525,0
526,0
527,3
528,1
529,3
530,0
531,2
532,2
533,0
534,0
535,2
536,0
537,2
538,2
539,2
540,0
541,0
542,0
543,2
544,2
545,3
546,0
547,3
548,1
549,0
550,3
551,1
552,0
553,0
554,2
555,2
556,0
557,2
558,0
559,0
560,1
561,3
562,3
563,0
564,1
565,2
566,3
567,3
568,0
569,3
570,2
571,1
572,3
573,0
574,2
575,3
576,0
577,1
578,0
579,0
580,2
581,0
582,1
583,2
584,0
