question,truth
348,2
719,0
713,3
592,2
190,3
193,3
270,3
273,3
279,1
524,3
525,1
520,0
442,3
440,0
447,0
107,3
104,2
30,1
34,0
642,0
438,3
437,3
434,1
339,2
91,1
90,1
746,3
747,1
555,2
554,2
232,3
1,3
146,1
147,3
144,1
613,0
610,1
611,3
617,2
149,3
768,2
685,1
680,3
622,2
136,1
135,2
22,3
403,1
400,2
629,2
409,1
758,3
379,2
374,1
700,2
392,1
89,0
395,1
86,0
798,0
581,2
589,1
518,2
510,3
458,0
621,0
625,2
624,1
451,3
652,0
11,0
327,0
324,3
329,3
203,2
207,1
778,1
77,3
75,3
72,3
805,2
663,1
547,3
544,0
598,2
122,2
126,2
128,3
412,3
419,3
319,2
311,3
317,3
725,2
364,3
362,1
360,0
383,1
387,1
781,1
789,3
579,2
573,3
570,2
577,2
65,3
250,3
256,1
257,0
254,3
508,2
504,0
502,2
500,2
501,0
630,3
468,2
460,1
165,0
167,0
161,2
351,3
803,2
216,0
217,1
213,1
763,1
761,2
766,0
219,1
287,0
678,3
679,0
674,3
670,2
266,1
265,3
269,0
536,1
63,1
777,3
119,0
118,2
428,0
300,1
569,2
751,0
755,3
561,1
225,0
223,2
220,0
723,0
152,1
159,1
158,2
399,0
635,3
48,2
41,2
477,0
