question,worker,answer
344q,A1VW9W0DWXCPYE,0
344q,A3NU1SQPI1NXY4,0
344q,AKBP92VUQ7G3,0
344q,ATQWZNGQCN1RA,0
344q,A2H321P1NSEW35,0
344q,A2F0X4LN9N4O4C,0
344q,A2V3P1XE33NYC3,0
344q,A2UFD1I8ZO1V4G,0
344q,AD317NO9623GZ,0
345q,A2V3P1XE33NYC3,0
345q,AKBP92VUQ7G3,0
345q,A356EVHB3TU90R,0
345q,A2H321P1NSEW35,0
345q,AWRAXV1RIYR0M,0
345q,ATQWZNGQCN1RA,0
345q,AD317NO9623GZ,0
345q,A2UFD1I8ZO1V4G,0
345q,A3NU1SQPI1NXY4,0
346q,A2V3P1XE33NYC3,3
346q,AKBP92VUQ7G3,1
346q,A356EVHB3TU90R,3
346q,A2H321P1NSEW35,0
346q,AWRAXV1RIYR0M,0
346q,ATQWZNGQCN1RA,0
346q,AD317NO9623GZ,0
346q,A2UFD1I8ZO1V4G,3
346q,A3NU1SQPI1NXY4,3
347q,A2V3P1XE33NYC3,3
347q,AKBP92VUQ7G3,0
347q,A356EVHB3TU90R,2
347q,A2H321P1NSEW35,0
347q,AWRAXV1RIYR0M,0
347q,ATQWZNGQCN1RA,2
347q,AD317NO9623GZ,0
347q,A2UFD1I8ZO1V4G,2
347q,A3NU1SQPI1NXY4,0
340q,A2UFD1I8ZO1V4G,1
340q,ATQWZNGQCN1RA,1
340q,A36JZTUKQVV5S5,1
340q,AD317NO9623GZ,1
340q,A1C0Z73809FFDZ,1
340q,A1PAR1TMKFPKQE,1
340q,A2V3P1XE33NYC3,1
340q,AKBP92VUQ7G3,1
340q,A3NU1SQPI1NXY4,1
341q,A1VW9W0DWXCPYE,0
341q,A3NU1SQPI1NXY4,1
341q,AKBP92VUQ7G3,0
341q,ATQWZNGQCN1RA,0
341q,A2H321P1NSEW35,0
341q,A2F0X4LN9N4O4C,0
341q,A2V3P1XE33NYC3,0
341q,A2UFD1I8ZO1V4G,1
341q,AD317NO9623GZ,0
342q,A1VW9W0DWXCPYE,1
342q,A3NU1SQPI1NXY4,1
342q,AKBP92VUQ7G3,1
342q,ATQWZNGQCN1RA,1
342q,A2H321P1NSEW35,1
342q,A2F0X4LN9N4O4C,1
