question,truth
434,1
442,1
495,1
517,1
575,1
769,1
772,1
817,1
1271,1
1475,1
1609,1
1671,1
1730,1
1802,1
1843,1
1878,1
1943,1
1996,1
2279,1
2281,1
2563,1
2629,1
2813,1
2870,1
2891,1
2900,1
2909,1
2960,1
2982,1
3041,1
3143,1
3335,1
3564,1
3593,1
3595,1
3865,1
3944,1
4034,1
4138,1
4160,1
4223,1
4385,1
4416,1
4430,1
4489,1
4608,1
4657,1
4752,1
4793,1
4825,1
4870,1
4884,1
4975,1
5041,1
5115,1
5149,1
5184,1
5404,0
5524,0
6076,0
6207,0
6284,0
6399,0
6423,0
6443,0
6500,0
6519,0
6667,0
6697,0
6798,0
7155,0
7503,0
7739,0
7803,0
7825,0
7891,0
7950,0
7970,0
8088,0
8163,0
8175,0
8223,0
8520,0
8551,0
8564,0
8602,0
8796,0
8908,0
8985,0
9038,0
9149,0
9195,0
9409,0
9689,0
9755,0
9798,0
10223,0
10313,0
10378,0
10431,0
