question,truth
102_0,2
103_1,1
103_13,2
103_15,1
103_7,1
106_0,1
107_7,1
108_3,2
111_1,2
112_0,2
114_1,2
116_7,2
119_12,2
119_14,1
11_2,1
120_4,1
121_11,2
128_8,1
130_2,2
134_7,1
134_8,1
13_2,1
140_0,2
142_1,1
147_12,1
147_17,2
147_20,2
147_6,2
150_0,2
154_1,2
158_1,2
158_3,1
161_6,1
162_0,2
164_0,2
164_3,1
165_4,2
166_1,1
166_9,1
16_3,1
16_7,1
173_2,1
175_2,2
17_0,2
17_3,2
19_0,1
19_2,1
19_4,1
20_2,2
20_3,1
21_0,1
21_1,1
21_10,1
23_2,2
28_1,2
34_2,2
34_6,2
35_4,2
39_7,2
3_6,2
42_0,1
43_3,1
43_4,1
49_6,1
49_7,1
4_0,1
4_2,2
4_4,1
52_10,1
52_18,2
52_19,1
52_29,1
52_32,2
52_4,1
52_5,1
54_1,2
55_0,1
5_0,1
5_11,2
5_15,2
5_20,1
5_24,2
5_5,2
60_1,2
69_1,1
70_1,1
7_0,1
81_1,1
83_2,2
87_2,2
89_1,2
9_3,2
