question,worker,answer
508,A1VW9W0DWXCPYE,2
508,A3NU1SQPI1NXY4,2
508,AKBP92VUQ7G3,2
508,ATQWZNGQCN1RA,0
508,A2V3P1XE33NYC3,2
508,A2UFD1I8ZO1V4G,0
508,AD317NO9623GZ,2
508,A1PAR1TMKFPKQE,1
508,A1BHMDRWW9ZYSO,2
277,A1VW9W0DWXCPYE,2
277,A3NU1SQPI1NXY4,3
277,AKBP92VUQ7G3,2
277,ATQWZNGQCN1RA,1
277,A2V3P1XE33NYC3,2
277,A2UFD1I8ZO1V4G,2
277,AD317NO9623GZ,2
277,AM2W23THD4CI7,0
277,A53VNQRRFQ785,0
503,A1VW9W0DWXCPYE,3
503,A3NU1SQPI1NXY4,3
503,AKBP92VUQ7G3,3
503,ATQWZNGQCN1RA,3
503,A2V3P1XE33NYC3,3
503,A2UFD1I8ZO1V4G,0
503,AD317NO9623GZ,3
503,A1PAR1TMKFPKQE,2
503,A3E157ZN8XPUKJ,2
407,A1VW9W0DWXCPYE,2
407,A3NU1SQPI1NXY4,3
407,AKBP92VUQ7G3,2
407,ATQWZNGQCN1RA,3
407,A2H321P1NSEW35,2
407,A2V3P1XE33NYC3,2
407,A2UFD1I8ZO1V4G,1
407,AD317NO9623GZ,2
407,A3E157ZN8XPUKJ,0
87,A1VW9W0DWXCPYE,0
87,A3NU1SQPI1NXY4,0
87,AKBP92VUQ7G3,0
87,ATQWZNGQCN1RA,3
87,A2V3P1XE33NYC3,0
87,A2UFD1I8ZO1V4G,0
87,AD317NO9623GZ,0
87,A1PAR1TMKFPKQE,3
87,A3E157ZN8XPUKJ,2
213,A1VW9W0DWXCPYE,1
213,A3NU1SQPI1NXY4,1
213,AKBP92VUQ7G3,1
213,ATQWZNGQCN1RA,1
213,A2H321P1NSEW35,1
213,A2V3P1XE33NYC3,1
213,A2UFD1I8ZO1V4G,0
213,AD317NO9623GZ,1
213,A1BHMDRWW9ZYSO,0
233,A1VW9W0DWXCPYE,0
233,A3NU1SQPI1NXY4,0
233,AKBP92VUQ7G3,0
233,ATQWZNGQCN1RA,0
233,A2H321P1NSEW35,0
233,A2V3P1XE33NYC3,0
233,A2UFD1I8ZO1V4G,1
233,AD317NO9623GZ,1
