question,truth
79185900,1
79187357,1
80053174,2
80053749,2
80054009,2
80056520,2
80058539,2
81170244,0
81174459,1
81176574,1
81176923,2
81212076,1
81213766,1
81215474,0
81991158,0
81992074,1
81992349,1
81995233,2
81995718,2
81995828,0
81996594,1
81996695,2
82509691,2
82517329,0
82673621,0
82674290,2
82675851,1
82676486,2
82677093,1
82677176,2
82679560,1
82680253,2
82839115,1
82839573,0
82841631,0
82843728,2
82844107,1
82844422,1
82844934,0
82845437,0
82846065,0
82849313,1
82853149,0
83254598,0
83257052,1
83257061,2
83258604,1
83258702,0
83268482,2
83268638,0
83271419,1
83271979,2
84031114,1
84049308,1
84050364,0
84050878,1
84306362,1
84308263,0
84311760,1
84313582,0
84317772,1
84318290,1
84318783,0
84319756,0
84320238,0
84321911,0
