question,truth
asylum madhouse,7.75
automobile car,9.725
bird cock,6.800000000000001
bird crane,7.275
boy lad,9.05
brother lad,5.425
brother monk,5.05
car journey,4.25
cemetery woodland,3.4000000000000004
coast forest,5.0
coast hill,2.8499999999999996
coast shore,8.100000000000001
cord smile,2.575
crane implement,3.2750000000000004
food fruit,6.8500000000000005
food rooster,3.7
forest graveyard,3.1
furnace stove,7.425000000000001
gem jewel,10.0
glass magician,2.625
journey voyage,9.1
lad wizard,2.6750000000000003
magician wizard,8.45
midday noon,10.0
monk oracle,3.95
monk slave,3.15
noon string,2.375
rooster voyage,0.8250000000000001
shore woodland,2.725
tool implement,6.2
