question,worker,answer
344,A1VW9W0DWXCPYE,0
344,A3NU1SQPI1NXY4,0
344,AKBP92VUQ7G3,0
344,ATQWZNGQCN1RA,0
344,A2H321P1NSEW35,0
344,A2F0X4LN9N4O4C,0
344,A2V3P1XE33NYC3,0
344,A2UFD1I8ZO1V4G,0
344,AD317NO9623GZ,0
345,A2V3P1XE33NYC3,0
345,AKBP92VUQ7G3,0
345,A356EVHB3TU90R,0
345,A2H321P1NSEW35,0
345,AWRAXV1RIYR0M,0
345,ATQWZNGQCN1RA,0
345,AD317NO9623GZ,0
345,A2UFD1I8ZO1V4G,0
345,A3NU1SQPI1NXY4,0
346,A2V3P1XE33NYC3,3
346,AKBP92VUQ7G3,1
346,A356EVHB3TU90R,3
346,A2H321P1NSEW35,0
346,AWRAXV1RIYR0M,0
346,ATQWZNGQCN1RA,0
346,AD317NO9623GZ,0
346,A2UFD1I8ZO1V4G,3
346,A3NU1SQPI1NXY4,3
347,A2V3P1XE33NYC3,3
347,AKBP92VUQ7G3,0
347,A356EVHB3TU90R,2
347,A2H321P1NSEW35,0
347,AWRAXV1RIYR0M,0
347,ATQWZNGQCN1RA,2
347,AD317NO9623GZ,0
347,A2UFD1I8ZO1V4G,2
347,A3NU1SQPI1NXY4,0
340,A2UFD1I8ZO1V4G,1
340,ATQWZNGQCN1RA,1
340,A36JZTUKQVV5S5,1
340,AD317NO9623GZ,1
340,A1C0Z73809FFDZ,1
340,A1PAR1TMKFPKQE,1
340,A2V3P1XE33NYC3,1
340,AKBP92VUQ7G3,1
340,A3NU1SQPI1NXY4,1
341,A1VW9W0DWXCPYE,0
341,A3NU1SQPI1NXY4,1
341,AKBP92VUQ7G3,0
341,ATQWZNGQCN1RA,0
341,A2H321P1NSEW35,0
341,A2F0X4LN9N4O4C,0
341,A2V3P1XE33NYC3,0
341,A2UFD1I8ZO1V4G,1
341,AD317NO9623GZ,0
342,A1VW9W0DWXCPYE,1
342,A3NU1SQPI1NXY4,1
342,AKBP92VUQ7G3,1
342,ATQWZNGQCN1RA,1
342,A2H321P1NSEW35,1
342,A2F0X4LN9N4O4C,1
342,A2V3P1XE33NYC3,1
342,A2UFD1I8ZO1V4G,1
342,AD317NO9623GZ,1
343,A1VW9W0DWXCPYE,1
343,A3NU1SQPI1NXY4,3
343,AKBP92VUQ7G3,1
343,ATQWZNGQCN1RA,0
343,A2H321P1NSEW35,3
343,A2F0X4LN9N4O4C,1
343,A2V3P1XE33NYC3,3
343,A2UFD1I8ZO1V4G,1
343,AD317NO9623GZ,1
348,A2V3P1XE33NYC3,1
348,AKBP92VUQ7G3,1
348,A356EVHB3TU90R,1
348,A2H321P1NSEW35,1
348,AWRAXV1RIYR0M,1
348,ATQWZNGQCN1RA,1
348,AD317NO9623GZ,1
348,A2UFD1I8ZO1V4G,1
348,A3NU1SQPI1NXY4,1
349,A2AM6H3R1LSM9S,1
349,A3E157ZN8XPUKJ,1
349,AKBP92VUQ7G3,1
349,A2UFD1I8ZO1V4G,1
349,A3NU1SQPI1NXY4,1
349,AM2W23THD4CI7,1
349,A2V3P1XE33NYC3,1
349,ATQWZNGQCN1RA,1
349,AD317NO9623GZ,1
298,A2UFD1I8ZO1V4G,1
298,A2V3P1XE33NYC3,1
298,A3E157ZN8XPUKJ,1
298,AKBP92VUQ7G3,1
298,A3NU1SQPI1NXY4,1
298,A1PAR1TMKFPKQE,1
298,ATQWZNGQCN1RA,1
298,A2AM6H3R1LSM9S,1
298,AD317NO9623GZ,1
299,A2UFD1I8ZO1V4G,2
299,A2V3P1XE33NYC3,2
299,A3E157ZN8XPUKJ,2
299,AKBP92VUQ7G3,2
299,A3NU1SQPI1NXY4,1
299,A1PAR1TMKFPKQE,2
299,ATQWZNGQCN1RA,2
299,A2AM6H3R1LSM9S,2
299,AD317NO9623GZ,2
296,A2UFD1I8ZO1V4G,0
296,AD317NO9623GZ,0
296,ATQWZNGQCN1RA,0
296,AKBP92VUQ7G3,0
296,A1BHMDRWW9ZYSO,0
296,A1PAR1TMKFPKQE,3
296,A2V3P1XE33NYC3,0
296,A3E157ZN8XPUKJ,0
296,A3NU1SQPI1NXY4,1
297,A2UFD1I8ZO1V4G,0
297,A2V3P1XE33NYC3,3
297,A3E157ZN8XPUKJ,0
297,AKBP92VUQ7G3,0
297,A3NU1SQPI1NXY4,1
297,A1PAR1TMKFPKQE,3
297,ATQWZNGQCN1RA,0
297,A2AM6H3R1LSM9S,0
297,AD317NO9623GZ,0
294,A2UFD1I8ZO1V4G,1
294,AD317NO9623GZ,1
294,ATQWZNGQCN1RA,1
294,AKBP92VUQ7G3,1
294,A1BHMDRWW9ZYSO,1
294,A1PAR1TMKFPKQE,1
294,A2V3P1XE33NYC3,1
294,A3E157ZN8XPUKJ,1
294,A3NU1SQPI1NXY4,1
295,A2UFD1I8ZO1V4G,0
295,AD317NO9623GZ,0
295,ATQWZNGQCN1RA,0
295,AKBP92VUQ7G3,0
295,A1BHMDRWW9ZYSO,0
295,A1PAR1TMKFPKQE,0
295,A2V3P1XE33NYC3,1
295,A3E157ZN8XPUKJ,1
295,A3NU1SQPI1NXY4,1
292,A2UFD1I8ZO1V4G,1
292,A1PAR1TMKFPKQE,1
292,A3E157ZN8XPUKJ,1
292,A3NU1SQPI1NXY4,1
292,ATQWZNGQCN1RA,1
292,A2V3P1XE33NYC3,1
292,AD317NO9623GZ,1
292,AKBP92VUQ7G3,1
292,A2H321P1NSEW35,1
293,A2UFD1I8ZO1V4G,3
293,AD317NO9623GZ,0
293,ATQWZNGQCN1RA,0
293,AKBP92VUQ7G3,0
293,A1BHMDRWW9ZYSO,0
293,A1PAR1TMKFPKQE,3
293,A2V3P1XE33NYC3,3
293,A3E157ZN8XPUKJ,0
293,A3NU1SQPI1NXY4,1
290,A2UFD1I8ZO1V4G,0
290,A1PAR1TMKFPKQE,0
290,A3E157ZN8XPUKJ,2
290,A3NU1SQPI1NXY4,0
290,ATQWZNGQCN1RA,0
290,A2V3P1XE33NYC3,0
290,AD317NO9623GZ,0
290,AKBP92VUQ7G3,0
290,A2H321P1NSEW35,0
291,A2UFD1I8ZO1V4G,2
291,A1PAR1TMKFPKQE,2
291,A3E157ZN8XPUKJ,3
291,A3NU1SQPI1NXY4,2
291,ATQWZNGQCN1RA,2
291,A2V3P1XE33NYC3,2
291,AD317NO9623GZ,2
291,AKBP92VUQ7G3,2
291,A2H321P1NSEW35,2
199,AWRAXV1RIYR0M,2
199,A2V3P1XE33NYC3,2
199,AKBP92VUQ7G3,2
199,A2UFD1I8ZO1V4G,2
199,ATQWZNGQCN1RA,2
199,A3NU1SQPI1NXY4,2
199,A1PAR1TMKFPKQE,2
199,AD317NO9623GZ,2
199,A1VW9W0DWXCPYE,2
198,AWRAXV1RIYR0M,0
198,A2V3P1XE33NYC3,0
198,AKBP92VUQ7G3,0
198,A2UFD1I8ZO1V4G,0
198,ATQWZNGQCN1RA,0
198,A3NU1SQPI1NXY4,0
198,A1PAR1TMKFPKQE,0
198,AD317NO9623GZ,0
198,A1VW9W0DWXCPYE,0
195,A1BHMDRWW9ZYSO,3
195,ATQWZNGQCN1RA,3
195,A2H321P1NSEW35,3
195,A2V3P1XE33NYC3,1
195,A2UFD1I8ZO1V4G,1
195,A1PAR1TMKFPKQE,0
195,A3NU1SQPI1NXY4,1
195,AKBP92VUQ7G3,3
195,AD317NO9623GZ,1
194,A1BHMDRWW9ZYSO,2
194,ATQWZNGQCN1RA,0
194,A2H321P1NSEW35,0
194,A2V3P1XE33NYC3,0
194,A2UFD1I8ZO1V4G,1
194,A1PAR1TMKFPKQE,1
194,A3NU1SQPI1NXY4,1
194,AKBP92VUQ7G3,0
194,AD317NO9623GZ,1
197,AWRAXV1RIYR0M,3
197,A2V3P1XE33NYC3,3
197,AKBP92VUQ7G3,3
197,A2UFD1I8ZO1V4G,3
197,ATQWZNGQCN1RA,3
197,A3NU1SQPI1NXY4,3
197,A1PAR1TMKFPKQE,3
197,AD317NO9623GZ,3
197,A1VW9W0DWXCPYE,3
196,A1BHMDRWW9ZYSO,1
196,ATQWZNGQCN1RA,1
196,A2H321P1NSEW35,1
196,A2V3P1XE33NYC3,1
196,A2UFD1I8ZO1V4G,1
196,A1PAR1TMKFPKQE,1
196,A3NU1SQPI1NXY4,1
196,AKBP92VUQ7G3,1
196,AD317NO9623GZ,1
