question,truth
1q,2
2q,3
3q,0
4q,1
5q,1
6q,3
7q,0
8q,2
9q,1
10q,0
11q,3
12q,2
13q,3
14q,1
15q,0
16q,2
17q,3
18q,1
19q,0
20q,2
21q,3
22q,0
23q,1
24q,2
25q,1
26q,0
27q,2
28q,3
29q,2
30q,1
31q,0
32q,3
33q,3
34q,1
35q,2
36q,0
37q,2
38q,1
39q,3
40q,0
41q,2
42q,1
43q,3
44q,0
45q,0
46q,2
47q,3
48q,1
49q,1
50q,0
51q,2
52q,3
53q,0
54q,3
55q,1
56q,2
57q,1
58q,2
59q,3
60q,0
61q,2
62q,1
63q,3
64q,0
65q,2
66q,1
67q,3
68q,0
69q,2
70q,0
71q,1
72q,3
73q,3
74q,0
75q,2
76q,1
77q,2
78q,3
79q,0
80q,1
81q,1
82q,3
83q,2
84q,0
85q,1
86q,3
87q,0
88q,2
89q,0
90q,2
91q,3
92q,1
93q,1
94q,3
95q,0
96q,2
97q,3
98q,1
99q,2
100q,0
101q,2
102q,3
103q,0
104q,1
105q,3
106q,1
107q,0
108q,2
109q,2
110q,1
111q,0
112q,3
113q,2
114q,3
115q,0
116q,1
117q,2
118q,3
119q,1
120q,0
121q,0
122q,1
123q,2
124q,3
125q,1
126q,3
127q,2
128q,0
129q,2
130q,3
131q,0
132q,1
133q,3
134q,0
135q,2
136q,1
137q,0
138q,3
139q,2
140q,1
141q,1
142q,3
143q,2
144q,0
145q,0
146q,1
147q,3
148q,2
149q,2
150q,3
151q,1
152q,0
153q,3
154q,2
155q,0
156q,1
157q,1
158q,3
159q,2
160q,0
161q,1
162q,0
163q,2
164q,3
165q,3
166q,1
167q,0
168q,2
169q,1
170q,3
171q,2
172q,0
173q,3
174q,1
175q,0
176q,2
177q,1
178q,3
179q,2
180q,0
181q,3
182q,0
183q,1
184q,2
185q,0
186q,3
187q,2
188q,1
189q,3
190q,0
191q,2
192q,1
193q,0
194q,2
195q,3
196q,1
197q,3
198q,0
199q,2
200q,1
201q,1
202q,3
203q,2
204q,0
205q,0
206q,1
207q,3
208q,2
209q,2
210q,0
211q,3
212q,1
213q,1
214q,0
215q,3
216q,2
217q,2
218q,3
219q,0
220q,1
221q,0
222q,1
223q,2
224q,3
225q,2
226q,1
227q,3
228q,0
229q,2
230q,0
231q,3
232q,1
233q,0
234q,2
235q,1
236q,3
237q,1
238q,3
239q,2
240q,0
241q,1
242q,3
243q,2
244q,0
245q,3
246q,2
247q,0
248q,1
249q,2
250q,0
251q,3
252q,1
253q,3
254q,1
255q,2
256q,0
257q,1
258q,0
259q,3
260q,2
261q,0
262q,3
263q,2
264q,1
265q,1
266q,3
267q,0
268q,2
269q,3
270q,1
271q,2
272q,0
273q,0
274q,3
275q,2
276q,1
277q,2
278q,0
279q,3
280q,1
281q,3
282q,2
283q,1
284q,0
285q,2
286q,0
287q,1
288q,3
289q,1
290q,0
291q,2
292q,3
293q,2
294q,1
295q,3
296q,0
297q,0
298q,1
299q,2
300q,3
301q,1
302q,2
303q,0
304q,3
305q,3
306q,2
307q,1
308q,0
309q,0
310q,2
311q,1
312q,3
313q,1
314q,0
315q,2
316q,3
317q,2
318q,0
319q,3
320q,1
321q,1
322q,3
323q,0
324q,2
325q,0
326q,1
327q,2
328q,3
329q,3
330q,1
331q,2
332q,0
333q,1
334q,0
335q,2
336q,3
337q,1
338q,0
339q,2
340q,3
341q,2
342q,1
343q,3
344q,0
345q,0
346q,3
347q,2
348q,1
349q,1
350q,3
351q,0
352q,2
353q,1
354q,0
355q,3
356q,2
357q,2
358q,1
359q,3
360q,0
361q,2
362q,3
363q,0
364q,1
365q,1
366q,3
367q,0
368q,2
369q,0
370q,2
371q,3
372q,1
373q,1
374q,0
375q,2
376q,3
377q,3
378q,1
379q,0
380q,2
381q,2
382q,3
383q,1
384q,0
385q,0
386q,3
387q,2
388q,1
389q,2
390q,0
391q,3
392q,1
393q,1
394q,2
395q,0
396q,3
397q,2
398q,1
399q,0
400q,3
401q,1
402q,2
403q,3
404q,0
405q,0
406q,3
407q,2
408q,1
409q,2
410q,1
411q,0
412q,3
413q,0
414q,2
415q,1
416q,3
417q,0
418q,3
419q,2
420q,1
421q,0
422q,3
423q,1
424q,2
425q,3
426q,1
427q,2
428q,0
429q,2
430q,1
431q,0
432q,3
433q,2
434q,0
435q,3
436q,1
437q,1
438q,3
439q,2
440q,0
441q,3
442q,2
443q,1
444q,0
445q,1
446q,3
447q,2
448q,0
449q,3
450q,2
451q,1
452q,0
453q,1
454q,2
455q,0
456q,3
457q,1
458q,3
459q,2
460q,0
461q,0
462q,3
463q,1
464q,2
465q,3
466q,2
467q,1
468q,0
469q,3
470q,1
471q,0
472q,2
473q,3
474q,2
475q,0
476q,1
477q,2
478q,0
479q,3
480q,1
481q,1
482q,0
483q,3
484q,2
485q,1
486q,3
487q,0
488q,2
489q,0
490q,2
491q,3
492q,1
493q,0
494q,3
495q,1
496q,2
497q,2
498q,0
499q,1
500q,3
501q,2
502q,1
503q,3
504q,0
505q,1
506q,3
507q,0
508q,2
509q,3
510q,1
511q,0
512q,2
513q,3
514q,0
515q,2
516q,1
517q,3
518q,1
519q,0
520q,2
521q,2
522q,1
523q,3
524q,0
525q,0
526q,3
527q,1
528q,2
529q,1
530q,2
531q,3
532q,0
533q,0
534q,2
535q,1
536q,3
537q,2
538q,1
539q,3
540q,0
541q,0
542q,1
543q,2
544q,3
545q,2
546q,3
547q,1
548q,0
549q,3
550q,1
551q,0
552q,2
553q,3
554q,1
555q,2
556q,0
557q,0
558q,1
559q,2
560q,3
561q,1
562q,0
563q,3
564q,2
565q,0
566q,2
567q,3
568q,1
569q,3
570q,1
571q,0
572q,2
573q,0
574q,3
575q,2
576q,1
577q,0
578q,1
579q,3
580q,2
581q,3
582q,0
583q,2
584q,1
