question,truth
1,2
2,7
3,8
4,13
5,17
6,23
7,24
8,30
9,33
10,36
11,43
12,46
13,51
14,53
15,56
16,62
17,67
18,69
19,72
20,78
21,83
22,84
23,89
24,94
25,97
26,100
27,106
28,111
29,114
30,117
31,120
32,127
33,131
34,133
35,138
36,140
37,146
38,149
39,155
40,156
41,162
42,165
43,171
44,172
45,176
46,182
47,187
48,189
49,193
50,196
51,202
52,207
53,208
54,215
55,217
56,222
57,225
58,230
59,235
60,236
61,242
62,245
63,251
64,252
65,258
66,261
67,267
68,268
69,274
70,276
71,281
72,287
73,291
74,292
75,298
76,301
77,306
78,311
79,312
80,317
81,321
82,327
83,330
84,332
85,337
86,343
87,344
88,350
89,352
90,358
91,363
92,365
93,369
94,375
95,376
96,382
97,387
98,389
99,394
100,396
101,402
102,407
103,408
104,413
105,419
106,421
107,424
108,430
109,434
110,437
111,440
112,447
113,450
114,455
115,456
116,461
117,466
118,471
119,473
120,476
121,480
122,485
123,490
124,495
125,497
126,503
127,506
128,508
129,514
130,519
131,520
132,525
133,531
134,532
135,538
136,541
137,544
138,551
139,554
140,557
141,561
142,567
143,570
144,572
145,576
146,581
147,587
148,590
149,594
150,599
151,601
152,604
153,611
154,614
155,616
156,621
157,625
158,631
159,634
160,636
161,641
162,644
163,650
164,655
165,659
166,661
167,664
168,670
169,673
170,679
171,682
172,684
173,691
174,693
175,696
176,702
177,705
178,711
179,714
180,716
181,723
182,724
183,729
184,734
185,736
186,743
187,746
188,749
189,755
190,756
191,762
192,765
193,768
194,774
195,779
196,781
197,787
198,788
199,794
200,797
201,801
202,807
203,810
204,812
205,816
206,821
207,827
208,830
209,834
210,836
211,843
212,845
213,849
214,852
215,859
216,862
217,866
218,871
219,872
220,877
221,880
222,885
223,890
224,895
225,898
226,901
227,907
228,908
229,914
230,916
231,923
232,925
233,928
234,934
235,937
236,943
237,945
238,951
239,954
240,956
241,961
242,967
243,970
244,972
245,979
246,982
247,984
248,989
249,994
250,996
251,1003
252,1005
253,1011
254,1013
255,1018
256,1020
257,1025
258,1028
259,1035
260,1038
261,1040
262,1047
263,1050
264,1053
265,1057
266,1063
267,1064
268,1070
269,1075
270,1077
271,1082
272,1084
273,1088
274,1095
275,1098
276,1101
277,1106
278,1108
279,1115
280,1117
281,1123
282,1126
283,1129
284,1132
285,1138
286,1140
287,1145
288,1151
289,1153
290,1156
291,1162
292,1167
293,1170
294,1173
295,1179
296,1180
297,1184
298,1189
299,1194
300,1199
301,1201
302,1206
303,1208
304,1215
305,1219
306,1222
307,1225
308,1228
309,1232
310,1238
311,1241
312,1247
313,1249
314,1252
315,1258
316,1263
317,1266
318,1268
319,1275
320,1277
321,1281
322,1287
323,1288
324,1294
325,1296
326,1301
327,1306
328,1311
329,1315
330,1317
331,1322
332,1324
333,1329
334,1332
335,1338
336,1343
337,1345
338,1348
339,1354
340,1359
341,1362
342,1365
343,1371
344,1372
345,1376
346,1383
347,1386
348,1389
349,1393
350,1399
351,1400
352,1406
353,1409
354,1412
355,1419
356,1422
357,1426
358,1429
359,1435
360,1436
361,1442
362,1447
363,1448
364,1453
365,1457
366,1463
367,1464
368,1470
369,1472
370,1478
371,1483
372,1485
373,1489
374,1492
375,1498
376,1503
377,1507
378,1509
379,1512
380,1518
381,1522
382,1527
383,1529
384,1532
385,1536
386,1543
387,1546
388,1549
389,1554
390,1556
391,1563
392,1565
393,1569
394,1574
395,1576
396,1583
397,1586
398,1589
399,1592
400,1599
401,1601
402,1606
403,1611
404,1612
405,1616
406,1623
407,1626
408,1629
409,1634
410,1637
411,1640
412,1647
413,1648
414,1654
415,1657
416,1663
417,1664
418,1671
419,1674
420,1677
421,1680
422,1687
423,1689
424,1694
425,1699
426,1701
427,1706
428,1708
429,1714
430,1717
431,1720
432,1727
433,1730
434,1732
435,1739
436,1741
437,1745
438,1751
439,1754
440,1756
441,1763
442,1766
443,1769
444,1772
445,1777
446,1783
447,1786
448,1788
449,1795
450,1798
451,1801
452,1804
453,1809
454,1814
455,1816
456,1823
457,1825
458,1831
459,1834
460,1836
461,1840
462,1847
463,1849
464,1854
465,1859
466,1862
467,1865
468,1868
469,1875
470,1877
471,1880
472,1886
473,1891
474,1894
475,1896
476,1901
477,1906
478,1908
479,1915
480,1917
481,1921
482,1924
483,1931
484,1934
485,1937
486,1943
487,1944
488,1950
489,1952
490,1958
491,1963
492,1965
493,1968
494,1975
495,1977
496,1982
497,1986
498,1988
499,1993
500,1999
501,2002
502,2005
503,2011
504,2012
505,2017
506,2023
507,2024
508,2030
509,2035
510,2037
511,2040
512,2046
513,2051
514,2052
515,2058
516,2061
517,2067
518,2069
519,2072
520,2078
521,2082
522,2085
523,2091
524,2092
525,2096
526,2103
527,2105
528,2110
529,2113
530,2118
531,2123
532,2124
533,2128
534,2134
535,2137
536,2143
537,2146
538,2149
539,2155
540,2156
541,2160
542,2165
543,2170
544,2175
545,2178
546,2183
547,2185
548,2188
549,2195
550,2197
551,2200
552,2206
553,2211
554,2213
555,2218
556,2220
557,2224
558,2229
559,2234
560,2239
561,2241
562,2244
563,2251
564,2254
565,2256
566,2262
567,2267
568,2269
569,2275
570,2277
571,2280
572,2286
573,2288
574,2295
575,2298
576,2301
577,2304
578,2309
579,2315
580,2318
581,2323
582,2324
583,2330
584,2333
