question,truth
597576902212063232,1
565586175864610817,1
563881580209246209,1
595380689534656512,1
563757610327748608,1
563082741370339330,1
596962098845851648,1
563874350038675457,1
597240424873394176,1
571030421103910912,3
595306172833353728,1
562706485126643713,1
564678824953008128,1
571035328384884736,1
603286576131506177,4
595375793301131265,1
598769509248335873,1
572068636338364417,2
572346645897064448,1
575080651709247489,1
571033583285985281,1
571387182293725184,1
573222765957816320,1
603664815454875648,1
568820924855615489,1
575501717103644672,2
563377797763047425,1
597148153188519936,1
568848293486133248,1
603663272831778817,1
572854416031629313,1
564317491350863872,1
570095648952819713,1
575393332328722432,2
565029767708033024,1
562943065523240961,1
570997249846571008,1
603676994925133826,1
598512784377122816,1
603688066105081856,1
603649396484407296,1
598336838680477697,1
602678737566453760,1
562787963785191425,1
569957017655226369,1
570994931231117315,1
569150960783769601,3
575742743730745344,2
563851316665925632,1
563501697398370304,1
569201849229664256,1
569177003644964864,1
563093253378289665,1
570993190724964352,1
575417042150387712,2
596355644883501056,1
565593365245612032,1
597344466152792065,1
569744463670566913,1
594917674448072704,1
564674500390682624,1
595102568667217920,1
568436195966889984,1
565363377309241344,1
595115846613139456,1
564904052652113920,1
573954693690355712,1
570731787091107840,2
596964493449560064,1
603682460191203328,2
598194795421376512,1
563768704115023872,1
572343670034178051,1
571000078405537794,1
568456509421518848,1
572270547502907392,1
570732311840473089,1
572102836856750081,2
576433212156563456,2
571717540713381888,1
575155695080730624,1
571741933233565696,1
595328640088285184,1
572347254335385600,1
574417568229761025,1
564678219333246976,1
603681832173961216,1
596592358772191232,1
563826405784305666,1
599724801322659840,1
571740177137184768,1
603665369119592448,1
569612886722486272,1
575347321140969472,1
571354609622495232,1
570994652993556481,2
563093321418309633,1
602445487753535488,1
563309529614409730,1
603687162077433856,1
566069269084262401,1
571733391919337472,1
597872004235010048,1
576532163526406144,1
576554873468035072,2
562767924205998081,1
576104877144723456,1
576572940474515456,1
603569556469190656,2
562736780487974914,1
575695464613310464,1
572973809969442817,1
570814936219127809,1
575710263879430144,4
565028387232546816,1
603695258870947840,2
571004298860998657,1
562855493992218625,1
572328799284551680,2
603661823095615488,1
598042005013340160,2
562704332098113537,1
571451196377927680,1
575646184758337537,2
572343481219207168,1
564322083459432448,1
576094311856484352,1
618367060117098498,2
603553480754778112,1
564907851886247936,1
572336241871478786,2
569916467124137985,1
565320643731025920,1
564317908243726336,1
572340379736911872,1
565320815114473472,1
573587423520653312,1
576035486956789760,1
595397515849043968,1
575732869215158273,1
596731670281097218,2
573205121435369472,2
568678698615836672,1
597564077875941376,1
575156376458039296,1
571896483047477248,2
568140460322996224,1
565755824858226688,1
597552063615238144,1
571541585407565824,2
575860144355041280,2
573277464601894913,1
569181952424562688,1
566432510591377409,1
598668549234642945,1
572127937580949505,1
566779836044419072,1
571899941817331713,1
576189889550684160,2
572335501765574656,1
596106196253184000,1
574888402077667329,1
572261148323676160,2
576512492643491841,1
597142165316247552,1
572318519464865792,2
572337351214559232,1
603660142522032130,4
569632316454084608,1
569015083721818113,1
570738449122136065,2
575616147166466048,2
572279223525621760,1
566467902870925312,1
597366877258588161,1
564898715840700417,1
570992871211274242,1
565327930335952896,1
563461334814052352,1
576162183362560000,2
569625666582216704,1
572346694127394817,1
568673584064782337,1
570850963986059264,1
576437717719879680,2
595376524880060416,1
572345440600907777,2
576552013955080192,1
572338526886363136,1
596748021695578112,1
564627148577595393,1
570639722600538113,3
564317814693978114,1
572490037230628864,1
567355729862868992,1
572344083017936896,2
574410915367399424,1
572335490885529600,1
603678413078028289,1
568663401657864192,1
564730068748861440,1
576430495308730368,1
576130274498510849,1
575355446124396544,1
565359433686208512,1
595384140142379008,1
572336811948687362,1
566309357252780032,1
562715323003318273,1
572336302500134912,1
576517777864798208,1
572604868692594689,1
571001349376069632,1
576517274254749696,1
572336380614856706,2
571380410539581440,1
597104315971448832,1
568130839982157824,1
571103188029276162,2
562786361045164032,1
573265516883648512,1
603547693504421888,1
603581009595084800,1
567047586515677185,1
566072331127492608,1
565761296264859649,1
573268706010120192,1
573474434050301952,1
595863871073587200,1
571423471223222272,1
576241537484496896,2
563556066953154560,1
598493860860309504,1
603686720819875843,2
574688639457886210,3
571440668813307904,1
598393695436546048,1
570995887876349952,3
562857483698728960,1
568300748125024256,1
568455802383511552,1
572348198062170112,2
563556102541803520,1
594913814321102849,1
596801639303938049,1
603059827313618944,1
570801788120653824,2
572337876911857664,1
603653864093577216,1
603027319352070145,1
598911047118901248,1
603654764618997762,2
570847322139045889,1
598974214620581888,1
563553471966613505,1
594297574053412864,1
576569252687163392,1
571422590545170432,1
571622027171246080,2
576641140922822656,1
575545766741147649,1
575897095997034496,3
568265489878642689,1
568317293689593856,1
603668696486129664,1
595392198956306432,1
569956626544730112,1
575768598762930176,1
562767280736829441,1
568212707331018754,1
596737027602653184,2
575774275715489792,1
572336719988588545,2
566443446089842689,1
571168385578479617,2
570057784588247040,1
596708887144706048,1
576588305338339328,2
603671719090515968,1
570962620934696961,2
574462678854332417,1
571734594011021313,1
569912822504689664,1
568456361052213248,1
564680075564425218,1
568273208903737346,1
564570357303365633,2
568301106394083328,1
567834627664060416,1
564675321652195328,1
562700798543818752,1
568182134801707008,1
564897178770874368,1
569613084936908801,1
573224002795139072,1
571160003479937025,1
576397915049975808,1
576066263916609536,2
573892581614030849,3
598518875261566977,1
565962094198018049,1
571986067462610944,1
572335940795957248,1
603689744967593984,1
575816367191953409,1
576152646593073153,1
572339654554341378,1
562769120174047233,1
569962046848000000,1
572335774554669057,1
597135449086296064,1
572344984822661121,1
563029717906108416,1
603636868434010112,2
575430572144644096,1
566382658347728897,1
598914169195220992,1
598058905491517440,1
564574332970864640,1
576421195198779392,2
565325846932897793,1
572052403475906560,2
596719288066519040,1
602539996709453824,4
569742377553776642,1
567078394458677248,1
603656378515873792,1
563310267635757056,1
563301407684431872,1
576488139931435008,1
576397378883756032,1
597148274009575424,1
596719436821737472,1
573263695108702209,1
572328650097364992,2
598418845372559360,1
597578569728983040,1
598335339585871873,1
563456844106960896,1
562855740076195842,1
594803951700082688,1
576464244834590720,1
595328845131067392,1
598288442775056384,1
563899998673174530,1
598184183018622977,1
571090616311873537,1
599067484595953664,1
572320554654425088,2
567026468463468544,1
598184527391903744,1
570735830647640064,2
573209244628959232,1
595397861409361921,1
574410414454218752,1
566776650621526016,1
572913092687863808,1
576624519630073856,1
572344928069500929,2
563495637958684672,1
576463632969523200,1
568454659532173312,1
566780275116752896,1
565637119625138177,1
571740971920044032,1
597172763493707776,1
573506616374382592,1
576424999096971265,2
564320982060392448,1
595336297570406400,1
571506370186498048,2
594330271735918592,1
568873857383161856,1
563059942081720321,1
596737345879035904,1
563856514205495296,1
568909797526937600,1
563877427277881344,1
572118177162924032,2
574533906797457408,3
574364992373293056,1
599072809420070914,1
573845502099218432,1
594816397525422080,1
576465833028755456,1
575653420054503424,2
599517774570856448,1
563427933499293697,1
565367033676963841,1
572336819020300289,1
576360462893236224,2
571645585817767937,1
598274467043749888,1
599358451685330944,1
576089993245937664,1
573985230358384640,1
596767691496562688,1
603647747686866944,1
569013477336969216,1
572504458132758528,1
568815771733794816,3
603665462241665024,1
598501033057193984,1
576166133729923072,1
566730337863360515,1
597853248339316736,1
595252360550752256,1
595315943460311040,1
572348099953217537,1
576164772808261632,1
572220523800887299,2
576466128442122242,1
568317538875998209,1
565690134428131328,1
564286601203687424,1
597876365635952640,1
575728724999430144,1
571006220451991552,1
598186079036936192,1
564667748911816704,1
563874836376592384,1
595812453407137793,2
568806969726734337,1
595392014100758528,1
575806547491713024,1
603688016889057280,4
564581470518255616,1
571131820244209664,1
570630511585939457,1
572342978255048705,1
575721343586451456,1
597909451950067713,1
573948678966108160,1
574960153205698560,1
570703407830294528,1
566716837274988545,1
573551727707717632,1
595108095392514050,1
572336293725642752,2
565961202866876416,1
563862695938490368,1
568453970718359552,1
575427100980609024,1
575505171985350656,1
573402677532491776,1
563857846672949248,1
572343206479712256,2
576254945768288257,1
576494974776180736,1
596431161506697216,1
571611613893173248,2
598185079819501568,1
562855352459603968,1
570993039256133633,1
595047101374959616,1
571135834478415872,1
564691588824051712,1
598729027113717761,1
572348377318346752,1
564904905073111040,1
603686975242149888,2
575715584186449920,1
597364944821063680,1
602269577305845760,1
597250717716328451,1
564872900692303872,1
572228242725326850,1
573766406149390336,1
563450227412049920,1
562703691783110658,1
571004780513873920,1
600850630794735617,3
574070802422738944,1
576507901302345728,1
598605595537637377,1
573596152093798400,1
573277610932756480,1
575839895664594944,2
567077555551735809,1
563890176166862850,1
564917164683980801,1
565229035735613440,1
594334692645548032,1
568905419390758912,1
566650767701192704,1
564676440579264514,1
573769582168637440,1
596706984860061696,2
571039073093025792,3
596718985539756032,1
575075123557892096,1
566835606823501824,1
570460235598573569,1
570989243067019264,1
603053781115346945,1
571686330696003585,2
568198756841037827,1
597954631335972865,1
570835371207962624,1
572581928907362304,1
576092975467384832,1
574434357198241793,1
599670842662920194,1
568825114759798784,1
563058444715180032,1
567031821192265728,1
571391077099413504,1
566668233869361155,1
576463813966462976,2
566726425756327936,1
565955108438290432,1
576255962429820928,1
573747533383475201,1
563911997587083264,1
564895373152366592,1
571718793778601984,2
599787303368724480,1
598778429329125376,1
572348420821667841,1
603689386698473473,2
573554685073731584,1
568552487956795392,1
595379887843639296,1
594587825321873408,1
576609527828750336,1
562741463931699200,1
568859600541192192,1
598399462550032385,1
564918230146228224,1
571281894077272065,2
572335873158619136,2
595363405558521856,1
572347049787572224,1
572095670632484864,2
572501913029255169,1
565980398514372609,1
564691443080376321,1
595377859973107712,1
595380410537750528,1
598180793215688704,1
563827198344175616,1
565346174484611073,1
595124549806522368,1
597119314903244800,1
565560626525634560,1
569187025288450048,1
569955555915100160,1
563447347397402625,1
572882745476571136,1
570782640837513216,1
598969177764864000,1
603655362714193920,1
563035271642750978,1
598502187631706112,1
563878944886108161,1
568466851539259392,1
594393875281801216,1
572238100811923456,1
576545647379116032,1
564901498962714624,1
576166431919738880,1
598285649305669632,1
565758408947937280,1
594290189767311360,1
599390790440263680,1
571367458147184641,2
571814739648630784,1
566673604276789248,1
576088483850280960,2
603663624792645632,2
563239995297652736,1
565765255108628480,1
563248588382146560,1
598286179994193920,1
563495918935093248,1
603069198999396352,1
573568021882540033,1
598384839004266497,1
597579062542929920,1
595313802989690880,1
563066413628555264,1
573950008967331840,1
599532087792664577,1
572315829531881473,2
565638426968752128,1
568428992958590976,1
599364412521074688,1
574322211936301056,1
603650890990489600,1
574966196602204160,2
570459602682294272,3
567027825132068867,1
571529439122747392,2
568190780801617920,1
563376928019603456,1
576645541376978944,1
576039708829978624,1
565970350740344833,1
595598743719780353,1
598409570076131328,1
563318475540537345,1
570885551823286274,2
573341715534364672,1
569223726006276096,1
574457070725914625,1
562701596921200640,1
575140162021228544,3
572341498827522049,1
594634203859263489,1
572680726161694721,1
565559415718154240,1
603665770061529088,1
562898315982143488,1
564676380344872961,1
568915358691627008,1
574311332838703104,1
566792700272189440,1
575931185869819904,2
573314530614239232,1
571460613685145600,1
575426099183685636,1
599677995301801984,1
564631268701134848,1
576285460135329792,2
575805959735373824,1
571041651029708800,2
596771269929906176,1
574116637298688000,1
572336404568518656,1
568808279167475715,1
563857278638387200,1
573271437391233024,1
570866484681048064,1
576544119855538176,1
603685350763036672,1
599390747004043264,1
571519508269023232,1
574646435062419456,1
573188053692522497,1
571489795672653826,1
597580378920988672,1
564269965260234752,1
573588451536203776,1
597102890189131777,1
599060533178826754,1
572493663357444096,1
575496438429278208,1
572346080911736832,1
576007312202014720,1
573497515187683328,1
563310092183810050,2
572336456590495744,2
598764907060801536,1
565042359285469185,1
571851437510139905,1
571739737368633344,1
564924756512628736,1
596034401743450112,1
575433429036048386,1
595788335144132608,1
571357434683338753,1
565361171034013696,1
570728731150553088,2
576406376848691201,2
576424537065156608,2
575844901083987968,2
566789174754549760,1
574428659206897664,1
573954256211849216,1
572347584339046402,2
594939237457330176,1
572337448337817600,1
603656299088314369,4
597871216532135936,1
571507608701575168,1
602234305172131840,3
568231567698472961,1
573224347520921600,1
602098682004013058,1
594912136121294849,1
596582333844566016,1
575739325758963712,1
568803754180390912,1
603677129327321089,1
565091498790617088,1
566315686587564032,1
565765241922134016,1
572345254256373761,1
565594602502369280,1
603554063674941444,2
568666819877146624,1
596744902836244481,1
565963146259877888,1
571469361791307776,2
563498901831815168,1
572319306387599360,2
575779556285681664,2
597147335768940544,1
575763554155917312,1
594308610588413952,1
571282249917861888,2
575713989746913280,1
563894510212505601,1
576058917228294144,1
569174541521563648,2
569998319449038848,1
594300607852187648,1
571800847140708352,2
569184919068352512,1
571725985244045312,1
573225372176687105,1
572322208518823936,1
570863818202488832,1
563378204165955585,1
576253444685598720,1
563876639109414915,1
574446388211154944,1
603674345341333504,1
568664766194954240,1
603672341743280128,1
598757071379566592,1
599713338583453696,1
571404378692837377,2
572337408982708224,2
571013462744109056,1
571169798391861250,1
564906988761399297,1
562785889450229762,1
569715570699927552,1
603687727222169601,2
576184066250178560,1
570834831648497664,1
599092537547042816,1
596969114842726400,1
565347516603203586,1
576088906455642112,1
573597992713744385,1
563554838173057024,1
603652914960330752,2
569202357428297729,1
563084737183756288,1
570991655806840832,2
568178911516889088,1
566766581024559105,1
574389407802753025,1
563814474579066880,1
568839622899290112,1
596962309248929792,1
595425459862642693,1
562709884702306305,1
576464354188509184,1
564903649382367232,1
576441223499628545,2
603684845009707008,1
597147524751757313,1
564918316213350400,1
572117552492642305,2
571351798931451904,2
596824678846435328,1
571007334996156416,1
567047758507290626,1
562942941300535298,1
576163562651037696,2
568432767060418560,1
570816565169430528,1
568905505097293824,3
569179891746222080,1
598414194703085569,1
567086352227790851,1
603678043975069696,1
565752006250618880,1
575767666691977216,1
572339928408965120,2
571577108385927169,1
575410449543397376,2
568230682536730625,1
576137147595509760,2
573267318387523584,1
568189126379319296,1
564630993554788352,1
564573353277919232,1
597871606115868672,1
572336406053322753,2
574385812143374336,1
603688341511495682,1
564672521778126848,1
567114026853740546,1
596962196648636416,1
575754069316403200,2
575843009109098498,2
603659761545027584,1
576414857571926016,1
565359859752009730,1
572327744349999104,2
565094991370788864,1
566320147720581120,1
570990261473406976,1
569605731386728449,1
574665935589523457,3
572989549715988480,2
575353504836923392,1
571005502794002432,1
571726692768587777,1
573772866467946497,1
565983822899343360,1
565042535739834368,1
574959818521190400,1
576528026814451712,1
594284436985946112,1
563856212702150656,1
575710693304872960,1
571926780732416000,2
603671183201009664,1
563449833885687808,1
563862830336585728,1
595336064581013504,1
573946144746684416,1
571000231334031360,1
603414447240032257,3
598776372232724481,1
566795722964869121,1
573693983798353922,1
575430001744420864,1
562943218783117312,1
570653588847853568,1
562715080912293888,1
595306716880711680,1
595383236110454784,2
598975175497945090,1
573388176770785280,1
603657871226732544,2
572192991860928512,1
594586044663664641,1
568860629819195392,1
562867694769541121,1
594587523541639168,1
566314345530150912,2
571913858538868736,2
599065219453726720,1
565955126863872001,1
598828637995945985,1
569742963816837120,1
573223808712249345,1
568203801829642240,1
565228881926320128,1
575766862773911552,1
572339939733446658,1
597550937218121728,1
603682124785389568,1
596730741490253824,4
571426108249284609,1
576537703744835584,1
571729034163318784,1
574393777483202560,1
570843346056249344,1
594580973221613568,1
576536770382147584,1
603679795579396097,1
566794104332234752,1
564586797942861825,1
596367595902607360,1
598186184527843328,1
595008786160492548,1
570787142714028032,1
576671116799778816,2
595310566060732416,1
571025771491401728,2
571049636384763904,2
