question,truth
54,100
52,124
57,100
56,111
45,108
44,118
49,117
48,104
42,130
40,155
63,114
65,111
67,100
70,100
72,125
75,100
77,100
78,100
60,140
62,100
6,152
8,107
3,100
4,100
100,127
1,137
14,100
17,100
11,100
12,100
69,102
68,100
66,100
64,102
76,102
74,119
73,151
71,107
61,146
59,100
15,100
13,100
18,100
16,102
2,148
99,102
7,100
5,149
10,102
9,123
97,100
80,114
93,100
95,118
90,100
91,104
88,100
86,109
81,108
84,100
26,106
28,115
38,100
19,108
21,100
23,106
29,109
31,152
36,100
35,113
98,111
96,134
82,100
79,110
83,101
85,108
89,100
87,100
94,100
92,124
25,132
24,100
22,100
20,117
37,117
34,120
32,100
33,132
30,100
27,100
41,100
43,104
50,117
51,115
46,147
47,100
58,103
39,104
53,100
55,101
154,100
152,100
157,100
156,100
145,100
144,119
149,100
148,161
142,113
140,154
163,110
165,100
167,100
170,100
172,132
175,100
177,108
178,100
160,108
162,100
106,113
108,110
103,102
104,100
200,115
101,102
114,100
117,100
111,100
112,100
169,100
168,110
166,100
164,113
176,102
174,101
173,107
171,108
161,164
159,100
115,100
113,100
118,112
116,100
102,113
199,101
107,100
105,100
110,100
109,125
197,114
180,102
193,100
195,100
190,100
191,105
188,100
186,117
181,100
184,100
126,100
128,110
138,100
119,100
121,100
123,117
129,100
131,187
136,100
135,100
198,100
196,111
182,100
179,100
183,100
185,100
189,100
187,100
194,100
192,126
125,115
124,100
122,100
120,108
137,107
134,115
132,100
133,127
130,100
127,100
141,100
143,104
150,100
151,105
146,104
147,100
158,109
139,100
153,100
155,100
254,100
252,103
257,100
256,105
245,106
244,117
249,130
248,130
242,108
240,100
263,124
265,100
267,103
270,100
272,145
275,100
277,100
278,100
260,100
262,100
206,167
208,175
203,100
204,100
300,175
201,156
214,100
217,100
211,100
212,109
269,100
268,100
266,100
264,100
276,100
274,101
273,100
271,100
261,100
259,100
215,100
213,100
218,107
216,132
202,153
299,170
207,100
205,100
210,111
209,100
297,100
280,147
293,100
295,100
290,100
291,100
288,100
286,102
281,108
284,100
226,117
228,149
238,100
219,105
221,100
223,100
229,119
231,118
236,100
235,133
298,100
296,100
282,100
279,109
283,123
285,128
289,100
287,100
294,115
292,116
225,177
224,108
222,106
220,111
237,128
234,148
232,100
233,184
230,100
227,100
241,100
243,106
250,100
251,146
246,126
247,100
258,182
239,100
253,106
255,100
354,104
352,148
357,163
356,106
345,110
344,100
349,102
348,108
342,100
340,100
363,102
365,100
367,155
370,168
372,111
375,131
377,105
378,140
360,107
362,115
306,100
308,100
303,108
304,141
400,117
301,100
314,145
317,143
311,114
312,100
369,150
368,118
366,160
364,102
376,100
374,119
373,100
371,100
361,142
359,102
315,143
313,147
318,100
316,100
302,100
399,100
307,163
305,100
310,130
309,100
397,106
380,100
393,153
395,100
390,137
391,100
388,156
386,100
381,153
384,117
326,100
328,100
338,100
319,134
321,132
323,100
329,121
331,100
336,175
335,120
398,100
396,100
382,100
379,122
383,108
385,100
389,117
387,146
394,138
392,113
325,100
324,132
322,123
320,113
337,102
334,100
332,144
333,100
330,160
327,150
341,136
343,131
350,113
351,100
346,100
347,165
358,100
339,133
353,100
355,107
454,108
452,106
457,100
456,101
445,120
444,153
449,100
448,114
442,102
440,136
463,103
465,140
467,100
470,100
472,128
475,100
477,100
478,108
460,126
462,100
406,122
408,129
403,100
404,102
500,122
401,111
414,100
417,116
411,100
412,103
469,100
468,102
466,103
464,117
476,100
474,109
473,103
471,100
461,131
459,100
415,100
413,100
418,121
416,193
402,140
499,136
407,100
405,114
410,102
409,128
497,100
480,186
493,100
495,115
490,100
491,100
488,100
486,104
481,113
484,100
426,122
428,141
438,100
419,103
421,100
423,141
429,114
431,123
436,100
435,123
498,104
496,140
482,100
479,136
483,111
485,157
489,100
487,100
494,109
492,138
425,150
424,100
422,100
420,107
437,101
434,145
432,100
433,195
430,100
427,100
441,100
443,105
450,111
451,108
446,121
447,100
458,160
439,101
453,121
455,167
554,104
552,118
557,100
556,118
545,117
544,112
549,116
548,105
542,109
540,113
563,121
565,122
567,156
570,113
572,143
575,108
577,149
578,117
560,136
562,112
506,122
508,102
503,173
504,126
600,122
501,106
514,108
517,179
511,102
512,102
569,109
568,126
566,116
564,133
576,110
574,121
573,127
571,102
561,127
559,136
515,140
513,156
518,157
516,146
502,100
599,124
507,124
505,115
510,116
509,112
597,175
580,110
593,165
595,159
590,104
591,119
588,137
586,133
581,125
584,119
526,113
